"fuente";"columna";"valores_distintos_en_fuente";"valor";"observaciones"
GEIH;CATEGORY;599;"5230";2310
GEIH;CATEGORY;599;"5239";5
GEIH;CATEGORY;599;"5241";258
GEIH;CATEGORY;599;"5242";1012
GEIH;CATEGORY;599;"5243";1925
GEIH;CATEGORY;599;"5244";1381
GEIH;CATEGORY;599;"5245";1470
GEIH;CATEGORY;599;"5246";1915
GEIH;CATEGORY;599;"5249";1230
EXPORTACIONES;CATEGORY;341;"53";314
GEIH;CATEGORY;599;"53";9498
GEIH;CATEGORY;599;"5311";2197
GEIH;CATEGORY;599;"5312";1104
GEIH;CATEGORY;599;"5321";2395
GEIH;CATEGORY;599;"5322";1677
GEIH;CATEGORY;599;"5323";5
GEIH;CATEGORY;599;"5329";1766
GEIH;CATEGORY;599;"5332";5
GEIH;CATEGORY;599;"54";5098
GEIH;CATEGORY;599;"5411";757
GEIH;CATEGORY;599;"5412";2294
GEIH;CATEGORY;599;"5413";1000
GEIH;CATEGORY;599;"5414";2492
GEIH;CATEGORY;599;"5419";561
GEIH;CATEGORY;599;"55";12134
GEIH;CATEGORY;599;"56";9882
GEIH;CATEGORY;599;"57";4832
EXPORTACIONES;CATEGORY;341;"58";372
GEIH;CATEGORY;599;"58";7458
EXPORTACIONES;CATEGORY;341;"59";360
GEIH;CATEGORY;599;"59";6850
EMICRON;CATEGORY;194;"5_A_MENOS_10";2742
GEIH;CATEGORY;599;"6";46035
GEIH;CATEGORY;599;"60";7035
EXPORTACIONES;CATEGORY;341;"600";8
GEIH;CATEGORY;599;"61";10346
GEIH;CATEGORY;599;"6111";1551
GEIH;CATEGORY;599;"6112";1177
GEIH;CATEGORY;599;"6113";1756
GEIH;CATEGORY;599;"6114";633
GEIH;CATEGORY;599;"612";5
GEIH;CATEGORY;599;"6121";1301
GEIH;CATEGORY;599;"6122";959
GEIH;CATEGORY;599;"6123";255
GEIH;CATEGORY;599;"6129";254
GEIH;CATEGORY;599;"6130";538
GEIH;CATEGORY;599;"62";8479
GEIH;CATEGORY;599;"6210";847
GEIH;CATEGORY;599;"6221";450
GEIH;CATEGORY;599;"6222";985
GEIH;CATEGORY;599;"6223";502
GEIH;CATEGORY;599;"6224";71
GEIH;CATEGORY;599;"63";5350
GEIH;CATEGORY;599;"6310";22
GEIH;CATEGORY;599;"6320";20
GEIH;CATEGORY;599;"6330";3
GEIH;CATEGORY;599;"6340";6
GEIH;CATEGORY;599;"64";9347
GEIH;CATEGORY;599;"65";5751
GEIH;CATEGORY;599;"6520";5
GEIH;CATEGORY;599;"66";3564
GEIH;CATEGORY;599;"67";605
GEIH;CATEGORY;599;"68";4556
GEIH;CATEGORY;599;"69";4851
GEIH;CATEGORY;599;"6911";5
GEIH;CATEGORY;599;"7";9712
GEIH;CATEGORY;599;"70";8357
EXPORTACIONES;CATEGORY;341;"71";54
GEIH;CATEGORY;599;"71";8373
GEIH;CATEGORY;599;"7111";2092
GEIH;CATEGORY;599;"7112";2240
GEIH;CATEGORY;599;"7113";361
GEIH;CATEGORY;599;"7114";200
GEIH;CATEGORY;599;"7115";1791
GEIH;CATEGORY;599;"7119";1064
GEIH;CATEGORY;599;"7121";739
GEIH;CATEGORY;599;"7122";789
GEIH;CATEGORY;599;"7123";964
GEIH;CATEGORY;599;"7124";162
GEIH;CATEGORY;599;"7125";721
GEIH;CATEGORY;599;"7126";1810
GEIH;CATEGORY;599;"7127";922
GEIH;CATEGORY;599;"7131";1980
GEIH;CATEGORY;599;"7132";1771
GEIH;CATEGORY;599;"7133";102
GEIH;CATEGORY;599;"72";4403
GEIH;CATEGORY;599;"7210";5
GEIH;CATEGORY;599;"7211";385
GEIH;CATEGORY;599;"7212";2129
GEIH;CATEGORY;599;"7213";675
GEIH;CATEGORY;599;"7214";625
GEIH;CATEGORY;599;"7215";437
GEIH;CATEGORY;599;"722";5
GEIH;CATEGORY;599;"7221";1720
GEIH;CATEGORY;599;"7222";1135
GEIH;CATEGORY;599;"7223";881
GEIH;CATEGORY;599;"7224";237
GEIH;CATEGORY;599;"7231";2472
GEIH;CATEGORY;599;"7232";404
GEIH;CATEGORY;599;"7233";1629
GEIH;CATEGORY;599;"7234";968
GEIH;CATEGORY;599;"73";6162
GEIH;CATEGORY;599;"7311";594
GEIH;CATEGORY;599;"7312";236
GEIH;CATEGORY;599;"7314";866
GEIH;CATEGORY;599;"7315";497
GEIH;CATEGORY;599;"7316";665
GEIH;CATEGORY;599;"7321";587
GEIH;CATEGORY;599;"7322";827
GEIH;CATEGORY;599;"7323";464
GEIH;CATEGORY;599;"7331";937
GEIH;CATEGORY;599;"7332";1063
GEIH;CATEGORY;599;"7333";463
GEIH;CATEGORY;599;"7341";648
GEIH;CATEGORY;599;"7342";343
GEIH;CATEGORY;599;"7351";562
GEIH;CATEGORY;599;"7352";467
GEIH;CATEGORY;599;"7361";609
GEIH;CATEGORY;599;"7362";149
GEIH;CATEGORY;599;"7363";821
GEIH;CATEGORY;599;"7370";576
GEIH;CATEGORY;599;"7391";230
GEIH;CATEGORY;599;"7392";173
GEIH;CATEGORY;599;"7393";202
GEIH;CATEGORY;599;"7399";1360
EXPORTACIONES;CATEGORY;341;"74";74
GEIH;CATEGORY;599;"74";8187
GEIH;CATEGORY;599;"7411";2255
GEIH;CATEGORY;599;"7412";2118
GEIH;CATEGORY;599;"7413";1040
GEIH;CATEGORY;599;"7414";5
GEIH;CATEGORY;599;"7421";1027
GEIH;CATEGORY;599;"7422";1925
GEIH;CATEGORY;599;"75";7922
GEIH;CATEGORY;599;"7511";1724
GEIH;CATEGORY;599;"7512";2223
GEIH;CATEGORY;599;"7513";931
GEIH;CATEGORY;599;"7514";1299
GEIH;CATEGORY;599;"7515";628
GEIH;CATEGORY;599;"7516";182
GEIH;CATEGORY;599;"7521";384
GEIH;CATEGORY;599;"7522";2159
GEIH;CATEGORY;599;"7523";282
GEIH;CATEGORY;599;"7531";2295
GEIH;CATEGORY;599;"7532";748
GEIH;CATEGORY;599;"7533";1189
GEIH;CATEGORY;599;"7534";1260
GEIH;CATEGORY;599;"7535";238
GEIH;CATEGORY;599;"7536";1670
GEIH;CATEGORY;599;"7541";69
GEIH;CATEGORY;599;"7542";65
GEIH;CATEGORY;599;"7543";697
GEIH;CATEGORY;599;"7544";897
GEIH;CATEGORY;599;"7549";220
GEIH;CATEGORY;599;"76";655
GEIH;CATEGORY;599;"77";8614
GEIH;CATEGORY;599;"78";3270
GEIH;CATEGORY;599;"79";7710
GEIH;CATEGORY;599;"8";8252
GEIH;CATEGORY;599;"80";10543
GEIH;CATEGORY;599;"81";9862
GEIH;CATEGORY;599;"8111";920
GEIH;CATEGORY;599;"8112";407
GEIH;CATEGORY;599;"8113";433
GEIH;CATEGORY;599;"8114";620
GEIH;CATEGORY;599;"8121";553
GEIH;CATEGORY;599;"8122";360
GEIH;CATEGORY;599;"8131";841
GEIH;CATEGORY;599;"8132";66
GEIH;CATEGORY;599;"8141";557
GEIH;CATEGORY;599;"8142";1043
GEIH;CATEGORY;599;"8143";646
GEIH;CATEGORY;599;"8145";5
GEIH;CATEGORY;599;"8151";347
GEIH;CATEGORY;599;"8152";366
GEIH;CATEGORY;599;"8153";1520
GEIH;CATEGORY;599;"8154";443
GEIH;CATEGORY;599;"8155";142
GEIH;CATEGORY;599;"8156";628
GEIH;CATEGORY;599;"8157";568
GEIH;CATEGORY;599;"8159";321
GEIH;CATEGORY;599;"8160";1432
GEIH;CATEGORY;599;"8171";156
GEIH;CATEGORY;599;"8172";550
GEIH;CATEGORY;599;"8181";691
GEIH;CATEGORY;599;"8182";142
GEIH;CATEGORY;599;"8183";696
GEIH;CATEGORY;599;"8189";392
GEIH;CATEGORY;599;"82";4690
GEIH;CATEGORY;599;"8211";427
GEIH;CATEGORY;599;"8212";505
GEIH;CATEGORY;599;"8219";608
GEIH;CATEGORY;599;"83";4523
GEIH;CATEGORY;599;"8311";343
GEIH;CATEGORY;599;"8312";74
GEIH;CATEGORY;599;"8321";2381
GEIH;CATEGORY;599;"8323";2414
GEIH;CATEGORY;599;"8324";2275
GEIH;CATEGORY;599;"8331";2164
GEIH;CATEGORY;599;"8332";2383
GEIH;CATEGORY;599;"8341";646
GEIH;CATEGORY;599;"8342";1403
GEIH;CATEGORY;599;"8343";782
GEIH;CATEGORY;599;"8344";1019
GEIH;CATEGORY;599;"8350";710
GEIH;CATEGORY;599;"84";10519
GEIH;CATEGORY;599;"8423";3
GEIH;CATEGORY;599;"85";12437
GEIH;CATEGORY;599;"86";6982
EXPORTACIONES;CATEGORY;341;"87";372
GEIH;CATEGORY;599;"87";7374
EXPORTACIONES;CATEGORY;341;"88";372
GEIH;CATEGORY;599;"88";6499
